                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0352,                 3.3603,                 1.4382,                0.86424,                0.41816,                0.78716,                 0.5819,                0.84965,                 2.5579,                 1.2946,             0.00020602,             0.00020602,             0.00020602
                      2,                0.97251,                 1.9367,                 1.3445,                0.98509,                0.97659,                  0.995,                0.74076,                0.91354,                 1.1574,                 1.4186,             0.00041333,             0.00041333,             0.00041333
                      3,                 0.9614,                 1.5958,                  1.304,                0.91383,                0.95168,                 0.9946,                0.72263,                0.94584,                 1.3592,                 1.4229,              0.0006196,              0.0006196,              0.0006196
                      4,                0.93784,                 1.4422,                 1.2918,                0.96211,                0.97629,                  0.995,                0.68196,                 1.1217,                 1.1395,                 1.6203,             0.00062036,             0.00062036,             0.00062036
                      5,                0.92443,                 1.3255,                 1.2797,                0.97701,                0.99204,                  0.995,                0.64809,                 1.1997,                 1.1662,                 1.6463,             0.00061881,             0.00061881,             0.00061881
                      6,                0.87119,                 1.1358,                 1.2374,                0.96463,                      1,                 0.9921,                 0.7215,                 0.9128,                0.95868,                 1.4033,             0.00061727,             0.00061727,             0.00061727
                      7,                0.86693,                 1.1048,                 1.2431,                0.95966,                      1,                  0.995,                0.74675,                0.88836,                0.89455,                 1.3451,             0.00061572,             0.00061572,             0.00061572
                      8,                0.84484,                0.99387,                 1.2261,                0.97787,                0.99915,                0.99223,                0.71611,                0.97119,                 0.8165,                 1.4546,             0.00061417,             0.00061417,             0.00061417
                      9,                0.83319,                0.92422,                  1.204,                0.96215,                0.98583,                 0.9946,                 0.7503,                0.89248,                0.78172,                 1.3527,             0.00061262,             0.00061262,             0.00061262
                     10,                0.82553,                 0.8997,                  1.206,                0.99014,                0.99534,                  0.995,                0.75463,                0.85305,                0.65446,                 1.3087,             0.00061108,             0.00061108,             0.00061108
                     11,                0.81212,                 0.8659,                 1.1774,                0.97854,                0.99749,                  0.995,                 0.7728,                0.80917,                0.63457,                 1.2869,             0.00060953,             0.00060953,             0.00060953
                     12,                0.78136,                0.77966,                 1.1705,                0.97935,                 0.9978,                 0.9944,                0.78095,                0.82052,                0.54704,                 1.3014,             0.00060798,             0.00060798,             0.00060798
                     13,                0.78562,                0.78547,                 1.1661,                0.98315,                0.99536,                 0.9948,                0.78291,                0.73313,                0.52982,                 1.2099,             0.00060644,             0.00060644,             0.00060644
                     14,                0.75693,                0.74043,                 1.1536,                0.97535,                0.97917,                0.99142,                 0.7884,                0.73871,                0.51808,                 1.2353,             0.00060489,             0.00060489,             0.00060489
                     15,                0.76756,                 0.7161,                 1.1606,                0.97186,                0.99832,                  0.995,                0.75172,                0.86499,                0.47759,                 1.3649,             0.00060334,             0.00060334,             0.00060334
                     16,                0.75522,                0.70015,                 1.1418,                0.96827,                      1,                  0.995,                0.78229,                0.82834,                0.50609,                 1.3576,              0.0006018,              0.0006018,              0.0006018
                     17,                0.75028,                 0.6913,                 1.1472,                0.97817,                0.99956,                  0.995,                0.77537,                0.81462,                0.45764,                 1.3087,             0.00060025,             0.00060025,             0.00060025
                     18,                0.74982,                0.65968,                 1.1431,                0.98386,                0.99583,                0.99462,                 0.7357,                0.86243,                0.52409,                 1.3318,              0.0005987,              0.0005987,              0.0005987
                     19,                0.73907,                0.63462,                 1.1412,                0.97772,                      1,                  0.995,                0.79703,                0.73194,                0.44687,                 1.2103,             0.00059716,             0.00059716,             0.00059716
                     20,                0.72783,                0.61628,                  1.132,                0.97526,                0.99195,                 0.9948,                0.77144,                0.76059,                0.51745,                 1.2192,             0.00059561,             0.00059561,             0.00059561
                     21,                0.70795,                0.59089,                 1.1176,                0.99129,                      1,                  0.995,                0.80457,                0.73223,                0.42522,                 1.2438,             0.00059406,             0.00059406,             0.00059406
                     22,                0.72324,                0.60591,                  1.127,                0.99097,                      1,                  0.995,                0.76646,                0.84974,                0.47129,                 1.3115,             0.00059252,             0.00059252,             0.00059252
                     23,                0.70253,                0.57435,                 1.1199,                0.99158,                0.99997,                  0.995,                0.76447,                0.82425,                0.42552,                 1.2845,             0.00059097,             0.00059097,             0.00059097
                     24,                0.70806,                0.56316,                 1.1164,                0.98165,                0.99334,                 0.9946,                0.77372,                0.81802,                0.41643,                 1.2796,             0.00058942,             0.00058942,             0.00058942
                     25,                0.70861,                0.57106,                 1.1218,                  0.953,                0.93913,                0.98563,                0.76976,                0.77477,                0.53344,                 1.2245,             0.00058787,             0.00058787,             0.00058787
                     26,                0.71186,                0.58739,                 1.1265,                0.98941,                 0.9961,                  0.995,                0.77224,                 0.8031,                0.43555,                 1.2843,             0.00058633,             0.00058633,             0.00058633
                     27,                0.70578,                0.55725,                  1.121,                0.98356,                0.99199,                 0.9942,                0.78263,                 0.7928,                0.42537,                 1.2667,             0.00058478,             0.00058478,             0.00058478
                     28,                0.69086,                0.55315,                 1.1069,                0.97866,                0.99583,                0.99267,                 0.7672,                0.86074,                0.40867,                  1.326,             0.00058323,             0.00058323,             0.00058323
                     29,                0.68751,                0.54284,                  1.114,                0.99169,                0.99139,                  0.995,                0.77932,                0.82285,                0.39585,                 1.2731,             0.00058169,             0.00058169,             0.00058169
                     30,                0.68123,                0.50572,                 1.1024,                0.97227,                0.99583,                0.99311,                0.77922,                0.76478,                0.43091,                 1.2249,             0.00058014,             0.00058014,             0.00058014
                     31,                0.69681,                0.53426,                 1.1069,                0.97447,                0.99583,                0.99163,                0.73893,                0.91712,                0.42826,                 1.4027,             0.00057859,             0.00057859,             0.00057859
                     32,                0.68611,                0.51651,                 1.1056,                0.98091,                 0.9968,                0.99462,                0.77136,                 0.8446,                0.41083,                 1.2954,             0.00057705,             0.00057705,             0.00057705
                     33,                0.67058,                0.51413,                 1.1038,                0.97901,                0.99812,                  0.994,                0.77161,                0.86079,                0.41578,                 1.3314,              0.0005755,              0.0005755,              0.0005755
                     34,                0.66743,                0.50723,                 1.0913,                0.98152,                0.99771,                  0.995,                0.80926,                0.70273,                0.39175,                 1.1636,             0.00057395,             0.00057395,             0.00057395
                     35,                0.66883,                0.50083,                 1.0932,                0.98267,                0.99583,                0.99462,                0.78586,                0.81013,                0.37773,                 1.2844,             0.00057241,             0.00057241,             0.00057241
                     36,                 0.6622,                0.50198,                 1.0912,                0.98496,                0.99248,                0.99441,                0.81726,                0.70596,                0.39739,                 1.1603,             0.00057086,             0.00057086,             0.00057086
                     37,                0.66018,                0.50109,                 1.0943,                0.98156,                0.99343,                0.99024,                0.73748,                0.87043,                0.42812,                 1.3688,             0.00056931,             0.00056931,             0.00056931
                     38,                0.67615,                0.49231,                 1.0988,                0.97697,                      1,                0.99361,                0.77368,                0.83973,                0.47253,                 1.2922,             0.00056777,             0.00056777,             0.00056777
                     39,                0.66755,                0.49306,                  1.081,                0.99073,                0.99489,                  0.995,                0.78302,                0.82674,                0.40858,                 1.3037,             0.00056622,             0.00056622,             0.00056622
                     40,                0.64535,                0.46416,                 1.0779,                0.98798,                0.99699,                  0.995,                0.79639,                0.75343,                0.35439,                 1.2537,             0.00056467,             0.00056467,             0.00056467
                     41,                0.66067,                0.47974,                 1.0975,                0.97322,                0.99172,                0.99383,                0.79171,                0.77881,                0.39158,                 1.2789,             0.00056313,             0.00056313,             0.00056313
                     42,                0.65142,                0.46568,                 1.0811,                0.98655,                0.99918,                  0.995,                0.79322,                0.79571,                0.35195,                 1.2959,             0.00056158,             0.00056158,             0.00056158
                     43,                0.64007,                0.46266,                 1.0835,                0.98739,                0.99544,                0.99431,                0.75378,                0.86892,                0.40524,                 1.3364,             0.00056003,             0.00056003,             0.00056003
                     44,                0.63026,                0.45701,                 1.0757,                0.98852,                0.99507,                0.99462,                0.78765,                0.76924,                0.40595,                 1.2675,             0.00055848,             0.00055848,             0.00055848
                     45,                0.64714,                0.47671,                 1.0872,                0.99018,                0.99775,                  0.995,                 0.7745,                0.80662,                0.40441,                 1.2928,             0.00055694,             0.00055694,             0.00055694
                     46,                0.63153,                0.46655,                 1.0776,                0.97961,                0.99894,                  0.995,                0.77604,                0.85343,                0.39504,                 1.3345,             0.00055539,             0.00055539,             0.00055539
                     47,                0.64173,                0.45493,                 1.0756,                0.97121,                0.99583,                 0.9913,                0.76214,                0.84979,                 0.4213,                 1.3371,             0.00055384,             0.00055384,             0.00055384
                     48,                0.62649,                0.44029,                 1.0738,                0.97013,                0.99322,                 0.9944,                0.77928,                0.80479,                 0.4119,                 1.2856,              0.0005523,              0.0005523,              0.0005523
                     49,                0.64036,                0.46005,                 1.0723,                0.98271,                0.99911,                 0.9948,                0.76258,                0.88678,                0.40588,                 1.3426,             0.00055075,             0.00055075,             0.00055075
                     50,                 0.6347,                0.45076,                 1.0823,                 0.9896,                0.99281,                0.99462,                 0.7706,                0.84676,                 0.4086,                 1.3313,              0.0005492,              0.0005492,              0.0005492
                     51,                0.62949,                0.45656,                 1.0725,                0.98262,                0.99665,                 0.9948,                0.78461,                0.84051,                0.39992,                 1.3276,             0.00054766,             0.00054766,             0.00054766
                     52,                0.61468,                0.43724,                 1.0697,                0.99137,                 0.9951,                  0.995,                0.82329,                0.68652,                0.33759,                 1.1612,             0.00054611,             0.00054611,             0.00054611
                     53,                0.62071,                0.44762,                 1.0615,                0.99215,                0.99328,                  0.995,                0.79363,                0.81656,                0.36184,                 1.3169,             0.00054456,             0.00054456,             0.00054456
                     54,                0.62618,                 0.4359,                 1.0691,                 0.9794,                0.99538,                0.99361,                 0.7725,                0.79325,                0.41715,                 1.2894,             0.00054302,             0.00054302,             0.00054302
                     55,                0.62094,                0.43237,                 1.0616,                0.98763,                      1,                  0.995,                0.79711,                0.79108,                0.36752,                 1.2926,             0.00054147,             0.00054147,             0.00054147
                     56,                0.63892,                0.43619,                 1.0725,                0.98176,                      1,                  0.995,                0.78066,                0.81477,                0.41735,                 1.2867,             0.00053992,             0.00053992,             0.00053992
                     57,                0.61149,                0.42881,                 1.0655,                0.98881,                0.99021,                 0.9946,                0.78736,                0.76359,                0.40649,                 1.2567,             0.00053838,             0.00053838,             0.00053838
                     58,                 0.6121,                 0.4399,                 1.0734,                 0.9862,                0.99794,                  0.995,                0.76568,                0.83061,                0.42853,                 1.3104,             0.00053683,             0.00053683,             0.00053683
                     59,                0.60908,                0.43876,                 1.0641,                0.98441,                0.95923,                  0.995,                0.75625,                0.88049,                0.43576,                 1.3851,             0.00053528,             0.00053528,             0.00053528
                     60,                0.59872,                0.42021,                 1.0576,                0.99027,                0.99375,                 0.9948,                0.75828,                 0.8746,                0.37933,                 1.3625,             0.00053373,             0.00053373,             0.00053373
                     61,                0.62973,                0.43087,                 1.0731,                0.98623,                0.99249,                0.99417,                0.75488,                0.88057,                 0.3983,                 1.3247,             0.00053219,             0.00053219,             0.00053219
                     62,                0.60313,                0.41913,                 1.0588,                0.99074,                      1,                  0.995,                0.76353,                0.88635,                0.38262,                 1.4075,             0.00053064,             0.00053064,             0.00053064
                     63,                0.60306,                0.42371,                 1.0604,                0.98457,                0.99583,                 0.9948,                0.78839,                0.77057,                0.40116,                 1.2552,             0.00052909,             0.00052909,             0.00052909
                     64,                0.60767,                0.41368,                 1.0559,                 0.9852,                 0.9956,                 0.9948,                0.76906,                0.84949,                0.41983,                 1.3422,             0.00052755,             0.00052755,             0.00052755
                     65,                0.59797,                0.41548,                 1.0579,                 0.9883,                0.99981,                  0.995,                0.76323,                0.86298,                0.41041,                 1.3567,               0.000526,               0.000526,               0.000526
                     66,                0.59523,                0.42482,                 1.0624,                0.98683,                      1,                 0.9948,                0.79689,                0.75595,                0.36683,                  1.224,             0.00052445,             0.00052445,             0.00052445
                     67,                0.60091,                 0.4059,                 1.0582,                0.98973,                0.99213,                0.99462,                0.77129,                0.86292,                0.37707,                 1.3425,             0.00052291,             0.00052291,             0.00052291
                     68,                0.60187,                0.41896,                  1.055,                 0.9811,                0.99583,                0.99462,                0.80478,                0.75152,                0.35692,                 1.2304,             0.00052136,             0.00052136,             0.00052136
                     69,                0.60195,                0.40934,                 1.0566,                0.97599,                0.98343,                  0.995,                0.79072,                0.77232,                0.38928,                 1.2517,             0.00051981,             0.00051981,             0.00051981
                     70,                0.61233,                0.41438,                 1.0622,                0.99032,                      1,                  0.995,                0.78616,                 0.8082,                0.35759,                 1.3236,             0.00051827,             0.00051827,             0.00051827
                     71,                0.59116,                0.39981,                 1.0485,                0.99015,                      1,                  0.995,                 0.8042,                0.76132,                0.37172,                 1.2376,             0.00051672,             0.00051672,             0.00051672
                     72,                0.59832,                0.40786,                 1.0543,                0.98345,                0.99797,                  0.995,                0.77361,                0.84342,                 0.3878,                 1.3581,             0.00051517,             0.00051517,             0.00051517
                     73,                 0.5858,                0.39111,                 1.0489,                0.99121,                0.98745,                  0.995,                0.80547,                0.75469,                0.32361,                 1.2681,             0.00051363,             0.00051363,             0.00051363
                     74,                0.58313,                0.39438,                 1.0471,                0.98942,                0.99732,                  0.995,                0.78467,                0.78651,                0.35231,                 1.2823,             0.00051208,             0.00051208,             0.00051208
                     75,                0.59018,                0.40147,                 1.0418,                0.99201,                0.99583,                0.99462,                0.78373,                0.80865,                0.37393,                 1.3171,             0.00051053,             0.00051053,             0.00051053
                     76,                 0.5712,                0.38199,                 1.0388,                0.99138,                0.99847,                  0.995,                0.79609,                0.75158,                0.36563,                 1.2469,             0.00050898,             0.00050898,             0.00050898
