                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.77983,                 1.3999,                 1.1528,                0.77368,                0.69289,                0.82933,                0.64344,                 0.8374,                 2.0506,                 1.3321,              0.0010396,              0.0010396,              0.0010396
                     36,                0.69204,                 1.3808,                 1.0983,                 0.8151,                0.89601,                0.84958,                0.67082,                0.82862,                 2.0982,                 1.3403,              0.0010334,              0.0010334,              0.0010334
                     37,                0.69611,                 1.2638,                 1.0499,                 0.8151,                0.89601,                0.84958,                0.67082,                0.82862,                 2.0982,                 1.3403,              0.0010273,              0.0010273,              0.0010273
                     38,                0.70458,                 1.2379,                 1.0816,                0.79548,                  0.868,                0.86732,                0.70679,                0.82978,                 2.0852,                 1.3303,              0.0010211,              0.0010211,              0.0010211
                     39,                0.73984,                 1.1991,                 1.1148,                0.96439,                 0.5999,                0.91062,                0.72566,                0.76528,                 2.0836,                 1.2583,              0.0010149,              0.0010149,              0.0010149
                     40,                0.66655,                 1.1749,                 1.0439,                0.88356,                    0.7,                0.92738,                0.74941,                0.74141,                  2.132,                 1.2472,              0.0010087,              0.0010087,              0.0010087
                     41,                0.72125,                 1.2466,                 1.1085,                0.88356,                    0.7,                0.92738,                0.74941,                0.74141,                  2.132,                 1.2472,              0.0010025,              0.0010025,              0.0010025
                     42,                0.56787,                 1.0731,                0.98326,                0.95635,                0.64928,                 0.9306,                0.70799,                0.74171,                 2.1513,                 1.2705,             0.00099631,             0.00099631,             0.00099631
                     43,                0.63621,                 1.0239,                 1.0255,                0.76109,                0.83648,                0.93598,                0.74437,                0.75819,                 1.8515,                 1.2741,             0.00099013,             0.00099013,             0.00099013
                     44,                0.68183,                 1.1676,                 1.0898,                0.87501,                0.91785,                0.95181,                0.77415,                0.73718,                 1.6051,                 1.2539,             0.00098394,             0.00098394,             0.00098394
                     45,                0.63342,                 1.0688,                 1.0214,                0.87501,                0.91785,                0.95181,                0.77415,                0.73718,                 1.6051,                 1.2539,             0.00097775,             0.00097775,             0.00097775
                     46,                0.74169,                 1.2512,                 1.1391,                0.92801,                0.89498,                0.95144,                0.76645,                0.76159,                 1.5668,                 1.2666,             0.00097156,             0.00097156,             0.00097156
                     47,                0.72337,                 1.0787,                 1.0702,                0.94923,                0.90208,                0.94949,                0.76392,                0.77459,                 1.6685,                 1.2778,             0.00096537,             0.00096537,             0.00096537
                     48,                0.74623,                 1.1871,                 1.1365,                0.86636,                0.89318,                0.94778,                0.78126,                0.78388,                 1.7351,                 1.2981,             0.00095919,             0.00095919,             0.00095919
                     49,                0.65699,                 1.0891,                 1.0469,                0.86636,                0.89318,                0.94778,                0.78126,                0.78388,                 1.7351,                 1.2981,               0.000953,               0.000953,               0.000953
                     50,                0.66985,                 1.0829,                 1.0461,                0.83938,                0.86832,                0.92143,                0.75632,                0.78261,                 1.7235,                 1.2951,             0.00094681,             0.00094681,             0.00094681
                     51,                  0.688,                 1.0582,                 1.0409,                0.82228,                0.88944,                0.92547,                0.76267,                0.76334,                 1.5896,                 1.2574,             0.00094062,             0.00094062,             0.00094062
                     52,                0.62214,                  1.004,                 1.0714,                0.88591,                0.92584,                0.93444,                0.77701,                0.72112,                 1.4094,                 1.2129,             0.00093444,             0.00093444,             0.00093444
                     53,                0.63054,                 1.0381,                 1.0822,                0.88591,                0.92584,                0.93444,                0.77701,                0.72112,                 1.4094,                 1.2129,             0.00092825,             0.00092825,             0.00092825
                     54,                0.76882,                 1.1242,                 1.0949,                0.93661,                  0.875,                0.93255,                0.76503,                0.71401,                 1.2591,                 1.2064,             0.00092206,             0.00092206,             0.00092206
                     55,                0.67135,                   1.12,                 1.0705,                0.92333,                0.93064,                0.93259,                0.75169,                0.76735,                 1.3336,                 1.2528,             0.00091588,             0.00091588,             0.00091588
                     56,                 0.7544,                 1.0378,                 1.0426,                0.90918,                0.93179,                 0.9451,                0.77279,                0.76794,                 1.3956,                 1.2774,             0.00090969,             0.00090969,             0.00090969
                     57,                0.70375,                 1.0944,                 1.0686,                0.90918,                0.93179,                 0.9451,                0.77279,                0.76794,                 1.3956,                 1.2774,              0.0009035,              0.0009035,              0.0009035
                     58,                0.70275,                 1.0872,                 1.0313,                0.92207,                0.91513,                0.92326,                0.74208,                0.78091,                 1.3318,                 1.2932,             0.00089731,             0.00089731,             0.00089731
                     59,                0.70505,                 1.0762,                 1.0467,                0.87993,                 0.9399,                0.93481,                0.75109,                0.75259,                 1.5748,                 1.2783,             0.00089112,             0.00089112,             0.00089112
                     60,                0.70849,                  1.053,                 1.0881,                0.91643,                0.93324,                0.94093,                0.74738,                0.72386,                 1.9846,                 1.2539,             0.00088494,             0.00088494,             0.00088494
                     61,                0.76135,                 1.0305,                 1.1122,                0.91643,                0.93324,                0.94093,                0.74738,                0.72386,                 1.9846,                 1.2539,             0.00087875,             0.00087875,             0.00087875
                     62,                0.59921,                 1.0085,                 1.0061,                0.93622,                0.93912,                 0.9451,                0.72622,                0.72187,                 2.0686,                 1.2586,             0.00087256,             0.00087256,             0.00087256
                     63,                0.70938,                0.98384,                 1.1613,                0.97635,                0.93199,                0.94519,                0.75031,                 0.7272,                 1.8758,                 1.2632,             0.00086637,             0.00086637,             0.00086637
                     64,                 0.7197,                 0.9733,                 1.0985,                0.96822,                0.92761,                 0.9451,                0.77884,                0.69827,                 1.4434,                 1.2202,             0.00086019,             0.00086019,             0.00086019
                     65,                0.70212,                0.90707,                  1.097,                0.96822,                0.92761,                 0.9451,                0.77884,                0.69827,                 1.4434,                 1.2202,               0.000854,               0.000854,               0.000854
                     66,                0.64512,                0.98637,                 1.0577,                0.93683,                0.88587,                0.94282,                0.79658,                0.67513,                  1.248,                 1.2121,             0.00084781,             0.00084781,             0.00084781
                     67,                0.64114,                0.94266,                 1.0545,                0.89721,                   0.95,                0.94281,                0.81343,                0.64358,                 1.1413,                 1.1613,             0.00084162,             0.00084162,             0.00084162
                     68,                0.57767,                0.86222,                 1.0056,                0.95228,                   0.95,                0.94507,                0.83367,                0.59664,                 1.0247,                 1.1066,             0.00083544,             0.00083544,             0.00083544
                     69,                0.65055,                 1.0081,                 1.0991,                0.95228,                   0.95,                0.94507,                0.83367,                0.59664,                 1.0247,                 1.1066,             0.00082925,             0.00082925,             0.00082925
                     70,                0.71241,                0.98857,                 1.0976,                0.96165,                   0.95,                0.94507,                0.83921,                0.58888,                0.93749,                 1.1118,             0.00082306,             0.00082306,             0.00082306
                     71,                0.63988,                0.89493,                  1.042,                0.97159,                   0.95,                0.94506,                0.80474,                0.63306,                0.98555,                 1.1505,             0.00081688,             0.00081688,             0.00081688
                     72,                0.66309,                0.89216,                 1.0683,                0.98609,                   0.95,                0.94516,                0.79731,                0.67905,                 1.0258,                 1.1931,             0.00081069,             0.00081069,             0.00081069
                     73,                0.65904,                0.96398,                 1.0774,                0.98609,                   0.95,                0.94516,                0.79731,                0.67905,                 1.0258,                 1.1931,              0.0008045,              0.0008045,              0.0008045
                     74,                0.71558,                0.97593,                 1.1021,                0.98505,                0.93596,                0.94517,                0.80339,                 0.7251,                 1.0577,                 1.2325,             0.00079831,             0.00079831,             0.00079831
                     75,                0.60456,                0.94266,                0.99718,                0.97612,                 0.9303,                0.94522,                 0.7933,                0.71403,                 1.0811,                 1.2236,             0.00079213,             0.00079213,             0.00079213
                     76,                0.60776,                0.88748,                 1.0195,                0.97033,                0.92657,                0.94526,                 0.7961,                0.67386,                 1.0312,                 1.1931,             0.00078594,             0.00078594,             0.00078594
                     77,                0.56825,                0.79829,                  0.973,                0.97033,                0.92657,                0.94526,                 0.7961,                0.67386,                 1.0312,                 1.1931,             0.00077975,             0.00077975,             0.00077975
                     78,                0.62095,                0.94843,                 1.0451,                0.97147,                0.94264,                0.94785,                0.80177,                0.65053,                0.95398,                 1.1805,             0.00077356,             0.00077356,             0.00077356
                     79,                0.58414,                0.81237,                 1.0238,                0.98657,                0.93378,                0.94601,                0.80607,                0.63309,                0.92727,                 1.1607,             0.00076738,             0.00076738,             0.00076738
                     80,                 0.6542,                0.85281,                 1.0568,                0.99102,                0.92693,                0.94553,                0.81232,                0.59679,                0.88553,                 1.1327,             0.00076119,             0.00076119,             0.00076119
                     81,                0.70373,                 1.0095,                  1.135,                0.99102,                0.92693,                0.94553,                0.81232,                0.59679,                0.88553,                 1.1327,               0.000755,               0.000755,               0.000755
                     82,                 0.6265,                0.92453,                 1.0706,                0.98729,                0.92674,                0.94556,                 0.8261,                0.59846,                0.89589,                 1.1328,             0.00074881,             0.00074881,             0.00074881
                     83,                0.62557,                0.82665,                 1.0235,                0.98155,                0.92917,                0.94552,                0.79986,                0.65303,                0.88474,                 1.1854,             0.00074263,             0.00074263,             0.00074263
                     84,                0.61833,                0.82473,                 1.0188,                0.96098,                   0.95,                0.94541,                0.79739,                0.70236,                0.84942,                  1.239,             0.00073644,             0.00073644,             0.00073644
                     85,                 0.6185,                0.82277,                 1.0271,                0.96098,                   0.95,                0.94541,                0.79739,                0.70236,                0.84942,                  1.239,             0.00073025,             0.00073025,             0.00073025
                     86,                0.63665,                0.84792,                 1.0348,                0.94973,                   0.95,                0.94302,                0.77496,                0.76676,                0.89121,                 1.3115,             0.00072406,             0.00072406,             0.00072406
                     87,                0.59398,                0.79694,                 1.0503,                0.93738,                0.94248,                0.94294,                0.76807,                0.78367,                0.93149,                 1.3269,             0.00071788,             0.00071788,             0.00071788
                     88,                0.59325,                0.79878,                0.96802,                0.94444,                0.92953,                0.94291,                0.76445,                0.74589,                0.94448,                 1.2775,             0.00071169,             0.00071169,             0.00071169
                     89,                0.60079,                0.81334,                 1.0436,                0.94444,                0.92953,                0.94291,                0.76445,                0.74589,                0.94448,                 1.2775,              0.0007055,              0.0007055,              0.0007055
                     90,                0.55646,                0.76623,                 0.9672,                0.94819,                0.92724,                0.94295,                0.76989,                0.73554,                0.93569,                 1.2482,             0.00069931,             0.00069931,             0.00069931
                     91,                0.59377,                0.78712,                 1.0346,                0.96319,                0.92743,                0.94513,                 0.7776,                0.77126,                0.86124,                 1.2723,             0.00069313,             0.00069313,             0.00069313
                     92,                0.56719,                0.82012,                 1.0049,                 0.9549,                0.92742,                0.94519,                0.77852,                0.73782,                0.83795,                 1.2715,             0.00068694,             0.00068694,             0.00068694
                     93,                0.58292,                0.80476,                 1.0153,                 0.9549,                0.92742,                0.94519,                0.77852,                0.73782,                0.83795,                 1.2715,             0.00068075,             0.00068075,             0.00068075
                     94,                    0.6,                0.74667,                0.99651,                0.94814,                0.92773,                0.94527,                0.77939,                0.74075,                0.84392,                 1.2757,             0.00067456,             0.00067456,             0.00067456
                     95,                0.58266,                0.75772,                 1.0283,                0.94913,                0.92805,                0.94533,                0.79399,                0.73274,                0.87387,                 1.2591,             0.00066838,             0.00066838,             0.00066838
                     96,                0.57084,                0.75426,                 1.0127,                0.95817,                0.92824,                0.94866,                0.79805,                 0.7038,                 0.8702,                 1.2204,             0.00066219,             0.00066219,             0.00066219
                     97,                0.58952,                0.72711,                0.99185,                0.95817,                0.92824,                0.94866,                0.79805,                 0.7038,                 0.8702,                 1.2204,               0.000656,               0.000656,               0.000656
                     98,                0.59772,                0.78478,                 1.0156,                0.96656,                0.92792,                0.95562,                0.81342,                0.67179,                0.85434,                 1.1819,             0.00064981,             0.00064981,             0.00064981
                     99,                0.65561,                0.77019,                 1.0474,                0.98155,                0.92994,                 0.9554,                0.81602,                0.62211,                0.84035,                 1.1505,             0.00064362,             0.00064362,             0.00064362
                    100,                0.51377,                0.73714,                0.95646,                0.98282,                0.93072,                0.95607,                0.82379,                 0.6033,                0.80131,                  1.141,             0.00063744,             0.00063744,             0.00063744
                    101,                0.57285,                0.77549,                 1.0323,                0.98282,                0.93072,                0.95607,                0.82379,                 0.6033,                0.80131,                  1.141,             0.00063125,             0.00063125,             0.00063125
                    102,                0.59407,                 0.7547,                0.99681,                0.98034,                0.92787,                0.95821,                 0.8257,                0.59984,                0.77964,                 1.1429,             0.00062506,             0.00062506,             0.00062506
                    103,                0.61167,                0.76998,                 1.0305,                0.97216,                0.92849,                0.96048,                 0.8247,                0.59733,                0.77816,                 1.1429,             0.00061887,             0.00061887,             0.00061887
                    104,                0.52721,                 0.7761,                  1.041,                0.96113,                0.90305,                0.96237,                0.82935,                0.57435,                0.79414,                 1.1313,             0.00061269,             0.00061269,             0.00061269
                    105,                0.54394,                0.71722,                  1.016,                0.96113,                0.90305,                0.96237,                0.82935,                0.57435,                0.79414,                 1.1313,              0.0006065,              0.0006065,              0.0006065
                    106,                0.60599,                0.73628,                  1.055,                 0.9722,                0.89462,                0.96204,                0.80427,                0.59275,                0.80834,                 1.1557,             0.00060031,             0.00060031,             0.00060031
                    107,                0.57619,                0.77314,                 1.0224,                0.91444,                0.91944,                0.96155,                0.80226,                0.60221,                0.80948,                 1.1663,             0.00059413,             0.00059413,             0.00059413
                    108,                0.51274,                0.75126,                 1.0099,                  0.911,                0.92093,                0.95079,                0.80863,                0.58939,                 0.7772,                 1.1562,             0.00058794,             0.00058794,             0.00058794
                    109,                 0.5732,                0.73127,                 1.0087,                  0.911,                0.92093,                0.95079,                0.80863,                0.58939,                 0.7772,                 1.1562,             0.00058175,             0.00058175,             0.00058175
                    110,                0.49597,                0.65042,                0.98913,                0.91304,                0.91648,                0.94955,                0.82875,                0.58485,                0.74992,                 1.1506,             0.00057556,             0.00057556,             0.00057556
                    111,                0.59021,                0.79196,                 1.0017,                0.96649,                0.90601,                0.94994,                0.82001,                0.57909,                0.74863,                 1.1441,             0.00056938,             0.00056938,             0.00056938
