                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.67585,                0.46972,                 1.0608,                0.99244,                      1,                  0.995,                0.78883,                0.76126,                0.39778,                 1.2339,              0.0096535,              0.0096535,              0.0096535
                     37,                0.67848,                0.47999,                 1.0707,                0.98204,                0.99326,                0.99284,                0.76296,                0.86186,                0.41427,                 1.3764,              0.0096436,              0.0096436,              0.0096436
                     38,                0.67483,                0.47329,                 1.0631,                0.99213,                0.99892,                  0.995,                0.77229,                0.80553,                0.42037,                 1.2702,              0.0096337,              0.0096337,              0.0096337
                     39,                0.67695,                0.47799,                 1.0641,                0.99232,                0.98892,                 0.9921,                0.77949,                0.75843,                0.40177,                 1.2269,              0.0096238,              0.0096238,              0.0096238
                     40,                0.65478,                 0.4554,                 1.0551,                0.99304,                0.99104,                  0.995,                 0.7838,                0.79803,                0.41757,                 1.2733,              0.0096139,              0.0096139,              0.0096139
                     41,                 0.6501,                0.45136,                 1.0582,                0.98955,                0.99611,                0.99468,                 0.7873,                0.75844,                0.37499,                 1.2282,               0.009604,               0.009604,               0.009604
                     42,                0.64673,                 0.4521,                 1.0469,                0.98604,                0.99692,                0.99454,                 0.7778,                0.80072,                0.40732,                 1.2612,              0.0095941,              0.0095941,              0.0095941
                     43,                 0.6561,                0.45567,                 1.0571,                 0.9729,                0.99408,                0.99425,                0.78207,                0.78106,                 0.3756,                 1.2721,              0.0095842,              0.0095842,              0.0095842
                     44,                0.64837,                 0.4425,                 1.0489,                 0.9905,                      1,                 0.9949,                 0.7697,                0.81943,                 0.4061,                 1.2979,              0.0095743,              0.0095743,              0.0095743
                     45,                0.63951,                0.43596,                 1.0477,                 0.9913,                 0.9954,                0.99466,                0.77493,                0.79075,                0.37353,                 1.2947,              0.0095644,              0.0095644,              0.0095644
                     46,                 0.6446,                0.43673,                 1.0485,                0.98214,                0.98982,                0.99422,                0.80176,                 0.7142,                0.36012,                 1.1865,              0.0095545,              0.0095545,              0.0095545
                     47,                0.64892,                0.43023,                 1.0518,                0.98697,                0.99657,                 0.9949,                0.80324,                0.74203,                0.36492,                 1.2169,              0.0095446,              0.0095446,              0.0095446
                     48,                0.64181,                0.43064,                 1.0477,                0.97299,                0.99195,                0.99439,                0.78625,                0.76125,                0.41112,                 1.2269,              0.0095347,              0.0095347,              0.0095347
                     49,                 0.6472,                0.44227,                 1.0502,                0.99426,                      1,                  0.995,                0.76752,                0.84957,                0.40768,                  1.377,              0.0095248,              0.0095248,              0.0095248
                     50,                0.63483,                0.42987,                 1.0443,                  0.994,                 0.9977,                  0.995,                0.77072,                 0.8509,                0.38776,                 1.3376,              0.0095149,              0.0095149,              0.0095149
                     51,                0.63078,                0.42922,                 1.0437,                 0.9889,                      1,                  0.995,                0.77892,                0.81194,                0.37101,                  1.322,               0.009505,               0.009505,               0.009505
                     52,                0.63259,                0.43304,                 1.0434,                 0.9701,                0.99583,                  0.995,                0.78683,                0.77846,                0.39171,                 1.2798,              0.0094951,              0.0094951,              0.0094951
                     53,                0.63172,                0.42316,                 1.0433,                0.98756,                      1,                  0.995,                0.76372,                0.85959,                0.38714,                 1.3905,              0.0094852,              0.0094852,              0.0094852
                     54,                0.62026,                0.42426,                 1.0387,                 0.9874,                0.99375,                 0.9945,                0.78725,                0.78068,                0.37733,                 1.2572,              0.0094753,              0.0094753,              0.0094753
                     55,                0.62268,                0.41711,                 1.0412,                0.99335,                0.99233,                0.99446,                0.78725,                0.78297,                0.38242,                 1.2521,              0.0094654,              0.0094654,              0.0094654
                     56,                0.63339,                0.42009,                 1.0501,                  0.994,                      1,                  0.995,                0.76378,                0.85458,                0.41578,                  1.315,              0.0094555,              0.0094555,              0.0094555
                     57,                0.62974,                0.41853,                 1.0408,                0.98338,                0.99248,                0.99421,                0.77354,                0.80954,                0.38345,                 1.2675,              0.0094456,              0.0094456,              0.0094456
                     58,                0.62321,                0.41783,                 1.0354,                0.99504,                0.99854,                  0.995,                 0.7817,                0.78962,                0.41941,                 1.2833,              0.0094357,              0.0094357,              0.0094357
                     59,                0.61667,                0.40689,                 1.0341,                0.99101,                0.99375,                0.99458,                0.79723,                0.72593,                0.39591,                 1.2053,              0.0094258,              0.0094258,              0.0094258
                     60,                 0.6162,                0.40549,                 1.0386,                0.98963,                0.99324,                0.99448,                0.80438,                0.72774,                0.34433,                  1.205,              0.0094159,              0.0094159,              0.0094159
                     61,                0.61854,                0.40793,                 1.0389,                0.98979,                0.99983,                  0.995,                0.80256,                0.73219,                0.35713,                 1.2176,               0.009406,               0.009406,               0.009406
                     62,                0.61152,                0.40339,                 1.0338,                0.99062,                0.99804,                  0.995,                0.77988,                0.80731,                0.38945,                 1.3524,              0.0093961,              0.0093961,              0.0093961
                     63,                0.60322,                0.39847,                 1.0262,                0.98977,                0.99792,                0.99492,                0.78731,                0.79161,                0.39015,                 1.2949,              0.0093862,              0.0093862,              0.0093862
                     64,                 0.6061,                0.39859,                 1.0292,                 0.9806,                0.99456,                0.99496,                0.79385,                0.76981,                0.38878,                 1.2637,              0.0093763,              0.0093763,              0.0093763
                     65,                0.60482,                0.39927,                 1.0295,                0.98788,                0.98958,                0.99365,                0.80097,                0.73191,                0.37328,                 1.2024,              0.0093664,              0.0093664,              0.0093664
                     66,                0.60826,                 0.4098,                 1.0329,                0.97374,                 0.9895,                0.99212,                0.78885,                 0.7547,                0.36244,                 1.2284,              0.0093565,              0.0093565,              0.0093565
                     67,                0.60514,                0.40214,                 1.0297,                0.99453,                0.99274,                  0.995,                0.80081,                0.72016,                0.36595,                 1.1928,              0.0093466,              0.0093466,              0.0093466
                     68,                0.60666,                0.39708,                  1.028,                 0.9858,                0.99785,                0.99492,                0.79558,                0.76876,                 0.3994,                 1.2735,              0.0093367,              0.0093367,              0.0093367
                     69,                0.58256,                0.39181,                 1.0168,                0.97489,                0.98597,                0.99082,                0.78676,                0.71606,                0.39776,                 1.2323,              0.0093268,              0.0093268,              0.0093268
                     70,                0.59218,                0.39139,                 1.0248,                0.99151,                      1,                  0.995,                0.76836,                0.85875,                0.39162,                 1.4075,              0.0093169,              0.0093169,              0.0093169
                     71,                0.59332,                0.39399,                 1.0234,                0.99358,                0.99873,                  0.995,                0.79591,                0.74748,                0.38232,                 1.2887,               0.009307,               0.009307,               0.009307
                     72,                0.58862,                 0.3936,                   1.02,                0.98151,                0.99235,                 0.9948,                0.79936,                0.76916,                0.35905,                  1.286,              0.0092971,              0.0092971,              0.0092971
                     73,                 0.5828,                0.38167,                 1.0201,                 0.9909,                0.99744,                0.99496,                0.79117,                0.74743,                0.37761,                 1.2464,              0.0092872,              0.0092872,              0.0092872
                     74,                0.59375,                0.38597,                  1.028,                0.98654,                0.99463,                0.99475,                0.80742,                0.72428,                0.38315,                 1.2227,              0.0092773,              0.0092773,              0.0092773
                     75,                0.59205,                0.38312,                 1.0236,                0.98121,                0.99792,                0.99488,                0.80607,                0.71192,                0.38194,                 1.1983,              0.0092674,              0.0092674,              0.0092674
                     76,                0.58617,                0.38134,                 1.0229,                0.99209,                0.99836,                  0.995,                0.76939,                0.85872,                0.39052,                 1.3977,              0.0092575,              0.0092575,              0.0092575
                     77,                0.58096,                0.38459,                 1.0162,                0.98259,                0.99633,                0.99492,                 0.7714,                0.85501,                0.38445,                 1.3787,              0.0092476,              0.0092476,              0.0092476
                     78,                0.57785,                0.37594,                 1.0203,                0.99237,                0.99634,                0.99478,                0.80067,                0.72015,                0.36888,                 1.2232,              0.0092377,              0.0092377,              0.0092377
                     79,                 0.5848,                0.37812,                 1.0211,                0.99662,                0.99376,                  0.995,                0.79108,                0.78012,                0.36975,                 1.3219,              0.0092278,              0.0092278,              0.0092278
                     80,                0.56555,                0.37408,                  1.013,                0.98715,                0.99885,                0.99496,                0.78448,                0.78091,                0.36976,                 1.3347,              0.0092179,              0.0092179,              0.0092179
                     81,                  0.573,                0.38259,                 1.0118,                0.98982,                      1,                  0.995,                0.78411,                0.81569,                0.39355,                 1.3105,               0.009208,               0.009208,               0.009208
                     82,                 0.5762,                0.37811,                 1.0149,                0.99138,                0.99905,                 0.9949,                0.79254,                0.76111,                 0.3678,                 1.2988,              0.0091981,              0.0091981,              0.0091981
                     83,                0.58243,                 0.3751,                 1.0195,                0.98737,                      1,                  0.995,                0.78379,                0.85186,                0.34192,                 1.3894,              0.0091882,              0.0091882,              0.0091882
