                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73165,                0.55936,                 1.0922,                0.98254,                      1,                  0.995,                0.77581,                0.79301,                0.49301,                 1.2381,              0.0096535,              0.0096535,              0.0096535
                     37,                0.74026,                0.55645,                 1.1022,                0.98593,                0.99744,                  0.995,                0.74954,                0.90072,                0.47715,                 1.3411,              0.0096436,              0.0096436,              0.0096436
                     38,                0.73987,                0.55219,                  1.098,                0.98689,                0.99437,                0.99462,                 0.7712,                0.81846,                0.45828,                 1.2471,              0.0096337,              0.0096337,              0.0096337
                     39,                0.72132,                0.53297,                 1.0775,                 0.9858,                0.99917,                 0.9948,                 0.7769,                  0.785,                0.40721,                 1.2332,              0.0096238,              0.0096238,              0.0096238
                     40,                0.71895,                 0.5181,                 1.0857,                0.90923,                0.96223,                0.98093,                 0.7613,                0.83845,                0.50469,                 1.2767,              0.0096139,              0.0096139,              0.0096139
                     41,                0.72924,                0.52933,                 1.0976,                0.98496,                 0.9869,                0.99317,                0.77278,                 0.8223,                 0.4249,                 1.2911,               0.009604,               0.009604,               0.009604
                     42,                0.71674,                0.51599,                 1.0821,                0.97084,                0.99344,                0.99401,                0.78196,                0.79182,                0.39634,                 1.2514,              0.0095941,              0.0095941,              0.0095941
                     43,                 0.7086,                0.52166,                  1.086,                0.98239,                      1,                0.99462,                0.75593,                  0.897,                0.46756,                 1.3685,              0.0095842,              0.0095842,              0.0095842
                     44,                0.71747,                0.53154,                 1.0908,                0.98479,                0.99747,                  0.995,                0.77602,                0.76955,                0.44903,                 1.2349,              0.0095743,              0.0095743,              0.0095743
                     45,                0.71178,                0.52925,                 1.0877,                0.97658,                 0.9957,                0.99362,                0.78886,                0.73321,                0.39802,                 1.1981,              0.0095644,              0.0095644,              0.0095644
                     46,                0.70742,                0.51856,                 1.0842,                0.98441,                0.99496,                  0.995,                0.81704,                0.72042,                0.36173,                 1.1928,              0.0095545,              0.0095545,              0.0095545
                     47,                 0.6849,                0.49175,                 1.0644,                0.96706,                 0.9856,                0.98961,                0.76216,                0.87708,                0.43299,                 1.3252,              0.0095446,              0.0095446,              0.0095446
